account_id,customer_id,branch_id,account_type,account_open_date,initial_balance,account_status
ACC01955,CUST02477,BR042,Salary,2024-01-13,40745.73,Active
ACC00915,CUST00015,BR030,Salary,2025-09-21,38267.02,Dormant
ACC08621,CUST09683,BR007,Current,2025-03-25,7903.01,Closed
ACC11445,CUST07586,BR015,Savings,2025-01-10,66081.1,Active
ACC05613,CUST05700,BR015,Current,2024-04-24,32649.39,Closed
ACC00770,CUST05528,BR044,Savings,2026-08-16,22487.68,Closed
ACC00526,CUST09364,BR009,Current,2026-07-06,65713.01,Closed
ACC10709,CUST00000,BR015,Savings,2024-12-10,79519.02,Closed
ACC09358,CUST09892,BR001,Salary,2024-03-25,84367.27,Active
ACC05938,CUST01232,BR005,Salary,2025-01-10,61836.74,Dormant
ACC07577,CUST08928,BR001,Current,2026-05-15,34833.85,Dormant
ACC03057,CUST06717,BR003,Savings,2023-12-05,52171.41,Dormant
ACC07055,CUST03986,BR036,Salary,2025-02-04,89077.2,Dormant
ACC08233,CUST01233,BR047,Salary,2026-09-07,17361.05,Active
ACC01509,CUST04518,BR026,Current,2026-03-25,13270.78,Dormant
ACC10492,CUST07900,BR046,Savings,2026-05-26,48904.97,Dormant
ACC07508,CUST00896,BR047,Savings,2025-03-21,22266.36,Active
ACC06047,CUST00369,BR013,Salary,2024-10-13,41895.68,Dormant
ACC05225,CUST01740,BR004,Current,2026-01-10,29568.31,Active
ACC10697,CUST06241,BR005,Savings,2024-08-13,37906.6,Closed
ACC04928,CUST05778,BR027,Current,2026-02-02,90292.78,Dormant
ACC09281,CUST05070,BR027,Savings,2026-03-29,59476.19,Dormant
ACC06762,CUST06736,BR036,Savings,2024-07-13,16688.92,Closed
ACC02919,CUST02665,BR004,Current,2026-04-04,98893.47,Active
ACC05162,CUST06118,BR014,Current,2024-09-12,66167.11,Dormant
ACC02383,CUST01874,BR005,Current,2025-03-30,52553.71,Closed
ACC10570,CUST08857,BR013,Current,2026-05-05,34401.52,Active
ACC00530,CUST09116,BR016,Salary,2026-07-05,85635.15,Active
ACC10373,CUST03796,BR006,Savings,2024-11-07,3650.73,Active
ACC05438,CUST01302,BR026,Salary,2026-02-03,31603.06,Dormant
ACC01742,CUST04858,BR021,Savings,2024-06-10,25026.01,Active
ACC08873,CUST09380,BR043,Current,2026-01-29,1463.27,Dormant
ACC07817,CUST02107,BR019,Savings,2026-05-30,92298.82,Dormant
ACC00507,CUST03603,BR016,Current,2025-07-17,47866.24,Dormant
ACC02226,CUST01095,BR008,Current,2025-06-08,69046.85,Dormant
ACC02398,CUST99999,BR045,Savings,2024-11-16,44006.82,Closed
ACC03094,CUST02786,BR048,Savings,2024-05-18,21871.61,Dormant
ACC09143,CUST04333,BR034,Current,2026-08-16,88038.37,Closed
ACC11825,CUST07769,BR006,Salary,2025-03-08,25907.61,Active
ACC06641,CUST00426,BR013,Current,2025-10-27,44156.86,Closed
ACC05181,CUST00794,BR038,Current,2024-08-24,89090.57,Dormant
ACC08886,CUST09991,BR022,Current,2025-01-18,55359.49,Dormant
ACC02123,CUST06465,BR043,Savings,2026-05-29,51583.52,Active
ACC02540,CUST02886,BR003,Salary,2024-04-23,44991.77,Dormant
ACC01397,CUST03904,BR014,Savings,2026-06-22,73560.18,Dormant
ACC02741,CUST00826,BR018,Savings,2026-07-20,-74793.18,Closed
ACC05632,CUST09508,BR023,Salary,2024-05-30,50450.88,Dormant
ACC08536,CUST00748,BR035,Salary,2025-09-17,64039.36,Dormant
ACC07969,CUST03667,BR006,Savings,2024-05-22,80266.6,Closed
ACC05703,CUST09199,BR011,Savings,2024-11-22,7095.22,Dormant
ACC07280,CUST08607,BR000,Salary,2024-11-11,30832.1,Dormant
ACC05176,CUST08583,BR042,Salary,2023-09-29,8430.14,Closed
ACC06939,CUST06467,BR000,Current,2024-12-25,16364.69,Dormant
ACC04187,CUST04319,BR035,Savings,2026-01-29,66303.59,Active
ACC02634,CUST09124,BR006,Current,2026-07-22,69219.04,Dormant
ACC04920,CUST03678,BR009,Current,2024-10-19,80512.03,Closed
ACC11588,CUST04479,BR039,Savings,2025-01-17,61787.42,Closed
ACC08430,CUST04018,BR007,Current,2026-07-26,11224.93,Closed
ACC00988,CUST99999,BR026,Current,2026-07-02,32581.01,Closed
ACC03053,CUST02966,BR025,Salary,2025-04-20,31379.1,Dormant
ACC02946,CUST00438,BR042,Savings,2026-01-29,43931.09,Active
ACC02297,CUST02016,BR005,Savings,2025-10-21,51515.11,Closed
ACC09518,CUST01031,BR046,Salary,2024-08-22,37809.9,Active
ACC04618,CUST09840,BR028,Current,2023-11-02,53370.08,Active
ACC08657,CUST03325,BR030,Current,2025-09-06,56816.64,Active
ACC00213,CUST06432,BR018,Salary,2026-06-14,59253.89,Active
ACC10418,CUST01174,BR004,Current,2024-02-23,49146.82,Dormant
ACC09184,CUST07544,BR004,Current,2024-10-18,74508.55,Active
ACC04005,CUST08583,BR023,Salary,2024-06-05,37012.23,Dormant
ACC09125,CUST08154,BR026,Current,2025-01-12,26350.1,Active
ACC09713,CUST03309,BR006,Current,2026-04-01,87477.79,Dormant
ACC02396,CUST00530,BR041,Savings,2025-08-08,73100.0,Closed
ACC10435,CUST07509,BR047,Savings,2024-01-19,60116.49,Closed
ACC04003,CUST09969,BR048,Current,2024-12-16,59141.42,Dormant
ACC01108,CUST03060,BR033,Current,2025-08-25,15823.29,Closed
ACC09823,CUST00940,BR046,Current,2024-09-24,18375.9,Closed
ACC01272,CUST00198,BR002,Current,2025-09-28,27185.94,Closed
ACC07811,CUST00142,BR013,Salary,2024-10-02,-52946.55,Dormant
ACC03422,CUST07026,BR043,Current,2026-04-20,88962.56,Dormant
ACC07326,CUST00538,BR033,Current,2024-06-13,53700.13,Active
ACC03553,CUST00123,BR017,Salary,2026-09-02,35850.51,Active
ACC06979,CUST01042,BR003,Current,2024-03-04,34462.39,Active
ACC03281,CUST06502,BR016,Current,2025-11-03,84224.08,Dormant
ACC05363,CUST02337,BR017,Salary,2025-05-08,58285.98,Dormant
ACC06607,CUST07419,BR014,Savings,2023-11-11,3120.31,Dormant
ACC09088,CUST00508,BR024,Savings,2024-09-09,84032.64,Dormant
ACC11432,CUST03744,BR016,Current,2025-04-14,43606.53,Active
ACC00217,CUST07637,BR004,Salary,2025-08-10,86946.5,Dormant
ACC03822,CUST07034,BR030,Salary,2024-03-24,-21348.18,Active
ACC04133,CUST02206,BR022,Savings,2026-02-06,99248.61,Dormant
ACC04417,CUST03885,BR040,Current,2025-06-21,59075.45,Dormant
ACC01838,CUST00721,BR046,Current,2026-03-02,25579.91,Active
ACC11038,CUST01904,BR044,Savings,2026-08-16,6380.46,Dormant
ACC07914,CUST05960,BR027,Current,2024-04-15,18242.58,Closed
ACC09457,CUST07585,BR023,Salary,2023-11-23,43542.48,Closed
ACC03125,CUST06595,BR011,Salary,2025-03-14,95782.14,Dormant
ACC00272,CUST04242,BR021,Salary,2024-06-30,47910.02,Closed
ACC06143,CUST03644,BR016,Savings,2023-10-23,79748.1,Dormant
