loan_id,customer_id,branch_id,loan_type,application_date,loan_amount,interest_rate,tenure_months,credit_score,loan_status,default_flag
LN02838,CUST05443,BR007,Vehicle,2025-01-05,388974.92,7.54,60,321,Approved,0
LN01428,CUST02745,BR040,Personal,2025-10-15,209594.11,6.05,12,712,Closed,0
LN01046,CUST06490,BR037,Vehicle,2025-12-18,60479.41,17.6,12,355,Approved,0
LN02468,CUST06342,BR028,Education,2025-01-06,201725.66,14.94,24,677,Active,0
LN03151,CUST00182,BR024,Vehicle,2025-10-04,419545.12,16.11,36,762,Rejected,0
LN04322,CUST05518,BR011,Personal,2025-06-27,277661.5,6.0,60,774,Closed,0
LN04949,CUST07845,BR009,Personal,2024-11-03,448974.8,12.51,36,528,Approved,0
LN01808,CUST04033,BR015,Education,2026-09-08,468187.54,7.03,36,434,Rejected,0
LN01068,CUST05182,BR040,Personal,2025-08-10,369691.38,14.48,24,887,Approved,0
LN01922,CUST01072,BR035,Home,2025-04-11,342484.23,8.35,120,784,Closed,0
LN03265,CUST01548,BR043,Vehicle,2026-02-26,473852.98,16.61,36,868,Closed,0
LN00558,CUST06313,BR015,Vehicle,2026-03-10,446254.08,7.29,36,855,Approved,0
LN00672,CUST01633,BR044,Vehicle,2025-04-02,446702.43,13.91,24,444,Defaulted,1
LN00730,CUST04637,BR010,Home,2025-07-31,170323.89,17.12,24,760,Rejected,0
LN02126,CUST07857,BR044,Home,2025-01-26,114329.47,13.63,120,561,Defaulted,1
LN04506,CUST04992,BR015,Vehicle,2026-05-22,226270.1,10.77,12,664,Rejected,0
LN03236,CUST08418,BR009,Personal,2025-11-30,422754.83,14.26,12,518,Rejected,0
LN05409,CUST01191,BR038,Personal,2025-01-25,176052.12,7.76,36,316,Defaulted,1
LN03245,CUST03237,BR030,Personal,2026-03-22,70807.47,16.46,24,425,Active,0
LN00784,CUST05240,BR027,Vehicle,2024-09-26,116456.13,16.09,60,662,Active,0
LN03985,CUST08575,BR038,Personal,2025-10-24,343679.19,9.76,36,317,Defaulted,1
LN01726,CUST05895,BR040,Personal,2026-04-17,255834.46,17.97,24,867,Defaulted,1
LN01287,CUST08007,BR012,Education,2025-01-07,280846.25,11.58,36,438,Approved,0
LN05793,CUST06637,BR049,Home,2025-02-19,269901.24,16.25,60,837,Defaulted,1
LN05419,CUST09654,BR031,Education,2024-10-23,115481.7,14.46,24,330,Active,0
LN00038,CUST03890,BR012,Personal,2024-09-13,499319.6,11.38,120,731,Active,0
LN03630,CUST06426,BR026,Vehicle,2026-03-06,381344.68,12.46,120,884,Rejected,0
LN04846,CUST01404,BR010,Education,2026-05-01,126407.26,13.78,60,733,Active,0
LN00480,CUST03267,BR032,Home,2025-11-19,400647.39,6.5,60,375,Approved,0
LN00448,CUST08527,BR025,Home,2025-12-13,213388.28,17.26,36,573,Rejected,0
LN01299,CUST03561,BR014,Education,2025-04-15,218931.05,14.19,24,526,Closed,0
LN02952,CUST05668,BR049,Personal,2025-06-02,174291.28,13.31,36,633,Defaulted,1
LN05144,CUST09290,BR004,Home,2025-05-02,127935.61,6.13,12,634,Active,0
LN00188,CUST01707,BR016,Personal,2025-11-11,471023.14,7.95,24,577,Defaulted,1
LN03557,CUST08712,BR038,Personal,2025-10-30,67661.49,7.85,24,858,Rejected,0
LN02851,CUST03868,BR039,Vehicle,2025-05-10,201352.69,11.26,60,539,Active,0
LN01859,CUST00011,BR006,Home,2024-11-23,312189.04,13.75,60,819,Rejected,0
LN04906,CUST00129,BR021,Education,2026-07-20,-481026.83,15.13,24,371,Defaulted,1
LN01983,CUST08258,BR015,Home,2026-03-15,195295.86,16.76,12,664,Rejected,0
LN03458,CUST00628,BR007,Vehicle,2025-10-04,240246.05,15.5,36,467,Closed,0
LN02477,CUST03670,BR029,Education,2026-06-18,352695.64,16.87,120,621,Rejected,0
LN04561,CUST09517,BR036,Education,2026-01-28,79008.38,16.52,60,684,Approved,0
LN05557,CUST09973,BR025,Education,2025-11-26,487896.77,13.17,36,690,Rejected,0
LN04513,CUST09114,BR028,Personal,2024-12-21,221461.6,8.52,120,502,Defaulted,1
LN03249,CUST09388,BR022,Vehicle,2025-06-30,198326.12,6.83,36,710,Defaulted,1
LN04157,CUST06039,BR002,Vehicle,2025-06-30,58486.63,10.26,60,412,Active,0
LN00714,CUST06996,BR035,Vehicle,2026-06-28,255242.5,8.5,60,566,Rejected,0
LN00754,CUST07350,BR043,Personal,2025-09-04,360196.85,13.07,12,770,Defaulted,1
LN02770,CUST02261,BR019,Education,2025-04-03,319069.95,16.34,120,382,Rejected,0
LN01756,CUST04293,BR026,Home,2026-05-11,384387.24,14.81,60,883,Active,0
LN05577,CUST02933,BR029,Home,2026-04-09,287634.84,13.65,60,760,Active,0
LN03081,CUST09501,BR011,Home,2024-10-17,457962.31,15.08,24,726,Approved,0
LN00362,CUST05919,BR003,Home,2025-04-12,298743.16,11.75,12,604,Rejected,0
LN03584,CUST03489,BR047,Education,2025-02-12,384166.14,14.66,120,751,Active,0
LN04116,CUST04988,BR027,Vehicle,2024-10-19,219793.23,7.26,24,546,Defaulted,1
LN04565,CUST02672,BR033,Personal,2025-09-24,338796.11,17.07,36,466,Defaulted,1
LN02968,CUST03236,BR006,Personal,2026-06-15,497429.31,16.33,36,322,Closed,0
LN03998,CUST06476,BR044,Education,2026-08-15,422868.31,8.33,120,824,Approved,0
LN03521,CUST00824,BR008,Vehicle,2024-12-08,352474.55,12.18,120,692,Approved,0
LN02328,CUST08505,BR032,Vehicle,2025-12-11,379160.18,17.43,36,340,Rejected,0
LN04393,CUST04620,BR045,Home,2024-11-28,493784.62,15.57,60,557,Active,0
LN01400,CUST07490,BR049,Home,2026-02-28,340923.77,17.21,24,507,Defaulted,1
LN00629,CUST00667,BR020,Education,2024-11-30,390308.31,14.06,12,521,Active,0
LN01117,CUST02143,BR000,Personal,2025-02-19,336549.04,12.04,60,436,Closed,0
LN03517,CUST08445,BR012,Home,2026-02-28,358226.95,15.4,36,775,Active,0
LN05067,CUST07604,BR011,Vehicle,2025-06-20,361593.06,15.15,24,460,Closed,0
LN00875,CUST09333,BR048,Vehicle,2025-05-26,385094.27,7.56,60,527,Defaulted,1
LN04141,CUST03839,BR018,Education,2025-01-30,76751.61,13.15,12,363,Defaulted,1
LN00387,CUST07079,BR008,Vehicle,2025-09-16,480318.85,13.96,24,318,Rejected,0
LN04259,CUST04589,BR034,Education,2025-04-29,163904.32,17.07,24,310,Rejected,0
LN05162,CUST00272,BR006,Home,2024-09-12,298337.48,9.14,24,840,Defaulted,1
LN00775,CUST06981,BR011,Education,2026-06-05,272407.68,15.92,24,879,Closed,0
LN05677,CUST01340,BR018,Education,2025-11-01,222326.55,12.18,120,813,Rejected,0
LN02805,CUST04648,BR001,Education,2025-04-09,277831.19,6.83,12,660,Active,0
LN02120,CUST09011,BR032,Education,2026-04-23,330364.28,12.18,60,686,Defaulted,1
LN03749,CUST07304,BR016,Home,2025-05-15,342885.81,12.18,12,777,Rejected,0
LN03418,CUST07594,BR001,Education,2024-10-06,19895.51,12.94,120,865,Approved,0
LN00497,CUST01571,BR008,Education,2025-08-14,181007.52,16.46,24,477,Defaulted,1
LN01282,CUST00390,BR030,Education,2025-01-07,302153.23,11.27,12,860,Approved,0
LN01927,CUST06674,BR042,Vehicle,2025-03-21,180043.73,13.16,36,809,Rejected,0
LN01496,CUST04811,BR011,Education,2026-05-01,110948.53,12.18,120,839,Defaulted,1
LN03770,CUST08264,BR041,Education,2025-11-13,406207.22,16.06,36,451,Active,0
LN01820,CUST07114,BR027,Vehicle,2025-12-25,379916.55,8.65,60,619,Defaulted,1
