loan_id,total_due,total_paid,avg_days_late,missed_payments,repayment_ratio
LN00000,266124.59,264241.47,6.32,4,0.99
LN00001,62633.28,48704.35,12.6,2,0.78
LN00002,94571.65,62122.020000000004,10.0,2,0.66
LN00003,38033.52,17374.97,1.0,0,0.46
LN00004,75997.73,59020.66,2.375,0,0.78
LN00005,49253.89,55275.86,4.6,0,1.12
LN00006,62907.79,90504.93,6.142857142857143,1,1.44
LN00007,24443.98,29092.48,14.333333333333334,1,1.19
LN00008,38068.11,46328.270000000004,0.75,0,1.22
LN00009,110952.79000000001,128745.44,5.090909090909091,1,1.16
LN00010,30568.59,46382.89,10.75,1,1.52
LN00011,72705.33,46757.53,3.2857142857142856,0,0.64
LN00012,68864.73999999999,53856.89,7.2,1,0.78
LN00013,57431.19,60004.67,15.5,3,1.04
LN00014,35327.95,41630.46,0.0,0,1.18
LN00015,11798.0,12564.58,1.5,0,1.06
LN00016,148790.63,162473.76,8.384615384615385,3,1.09
LN00017,85913.89,74029.26000000001,11.857142857142858,2,0.86
LN00018,36527.72,40712.54,11.0,1,1.11
LN00019,58243.34,65132.15,2.0,0,1.12
LN00020,74754.33,105664.25,4.0,0,1.41
LN00021,71486.78,67801.45,6.571428571428571,1,0.95
LN00022,129829.17,163846.93,10.416666666666666,3,1.26
LN00023,77169.31,71264.16,9.125,2,0.92
LN00024,87798.57,94951.98,12.555555555555555,3,1.08
LN00025,122084.91,99438.44,13.0,4,0.81
LN00026,129489.13,97408.3,4.6,1,0.75
LN00027,52781.149999999994,89857.23,4.125,0,1.7
LN00028,72414.59,76187.59,7.0,1,1.05
LN00029,99305.01000000001,113540.43000000001,7.2727272727272725,2,1.14
LN00030,30825.699999999997,37836.51,5.333333333333333,0,1.23
LN00031,143867.37,111445.95,4.416666666666667,1,0.77
LN00032,78660.63,52433.82,1.0,0,0.67
LN00033,75284.06,52685.98,5.714285714285714,1,0.7
LN00034,153250.74,120633.52,0.9,0,0.79
LN00035,54387.72,71627.33,14.0,2,1.32
LN00036,72004.79,70700.51,6.142857142857143,1,0.98
LN00037,20157.839999999997,14666.85,3.3333333333333335,0,0.73
LN00038,103689.01999999999,124004.3,4.3,1,1.2
LN00039,39947.2,47132.61,2.1666666666666665,0,1.18
LN00040,50517.270000000004,83999.62,6.0,1,1.66
LN00041,59072.41,91306.83,4.285714285714286,1,1.55
LN00042,100714.22,83233.03,4.444444444444445,1,0.83
LN00043,86773.34,67500.79,6.625,1,0.78
LN00044,28809.55,36024.54,3.25,0,1.25
LN00045,112773.85,112131.24,6.3,2,0.99
LN00046,77867.16,40998.64,0.5,0,0.53
LN00047,62671.740000000005,47714.92,6.666666666666667,1,0.76
LN00048,83022.0,71620.55,14.285714285714286,3,0.86
