payment_id,loan_id,payment_date,due_amount,paid_amount,days_late,payment_status
PAY018868,LN05262,2025-06-29,11611.08,15597.7,10,Late
PAY042504,LN04327,2026-02-19,1604.72,16275.4,10,Late
PAY007782,LN04037,2026-08-05,9584.65,17199.23,0,On Time
PAY024560,LN05437,2026-07-08,6418.31,11663.95,30,Missed
PAY001062,LN03044,2024-09-17,12934.74,17175.09,30,Missed
PAY039073,LN02309,2024-10-11,9901.72,2168.59,0,On Time
PAY020527,LN04356,2024-12-06,10927.15,4168.2,0,On Time
PAY039229,LN03548,2025-07-19,14557.12,11738.32,30,Missed
PAY013478,LN03996,2025-12-07,2759.11,8729.73,30,Missed
PAY001886,LN01468,2024-12-11,1028.95,7595.51,0,On Time
PAY011989,LN01619,2026-06-24,9598.83,12193.04,0,On Time
PAY031765,LN00016,2025-05-07,8840.2,8868.69,0,On Time
PAY025894,LN02118,2025-09-13,6158.9,14458.68,30,Missed
PAY011498,LN00618,2025-06-19,7983.67,9175.64,0,On Time
PAY010498,LN04797,2025-02-26,7307.03,4698.39,0,On Time
PAY026323,LN02016,2025-09-29,1028.8,15357.09,0,On Time
PAY005535,LN01114,2025-11-18,7046.78,7936.9,30,Missed
PAY021130,LN02401,2026-06-11,5435.45,5008.7,3,Late
PAY005804,LN03420,2026-01-08,3527.25,8027.11,0,On Time
PAY035084,LN03043,2026-05-12,16333.2,12032.02,3,Late
PAY002724,LN00260,2024-10-12,8212.08,9731.16,30,Missed
PAY033196,LN01874,2024-12-27,6354.86,14901.4,0,On Time
PAY035974,LN01107,2025-03-22,3673.57,9090.06,3,Late
PAY017774,LN01746,2025-05-28,17584.96,18975.43,3,Late
PAY014073,LN00355,2025-03-16,11857.0,2208.88,0,On Time
PAY043239,LN00148,2025-10-10,6039.99,7544.39,0,On Time
PAY000314,LN00808,2025-04-12,8106.01,10894.61,10,Late
PAY000223,LN00234,2025-10-07,18045.57,8638.22,0,On Time
PAY008260,LN01523,2025-01-31,13402.2,11301.68,0,On Time
PAY010629,LN02397,2026-08-25,12498.49,16196.8,0,On Time
PAY011529,LN01828,2024-10-09,2124.36,12110.37,0,On Time
PAY033205,LN03077,2025-12-23,11048.48,4354.84,0,On Time
PAY013397,LN00914,2024-10-12,16195.96,19491.25,10,Late
PAY040851,LN03298,2025-10-25,17945.19,12216.87,10,Late
PAY021123,LN01569,2025-03-01,6889.54,8959.18,0,On Time
PAY020507,LN00973,2025-04-20,2975.19,7432.6,30,Missed
PAY041990,LN00889,2024-11-18,9450.3,4453.83,0,On Time
PAY039775,LN02503,2025-01-02,4636.14,3695.42,10,Late
PAY043440,LN05035,2026-05-31,8597.12,14673.43,3,Late
PAY013761,LN03636,2026-08-21,18102.18,3291.97,30,Missed
PAY008793,LN99999,2025-09-21,15483.35,19543.76,30,Missed
PAY043784,LN05457,2024-12-31,11494.89,18819.82,0,On Time
PAY000528,LN01312,2026-03-19,6979.2,3751.41,0,On Time
PAY031125,LN00765,2025-11-11,12324.81,4722.4,30,Missed
PAY014457,LN04590,2026-08-08,13176.08,,0,On Time
PAY043244,LN02982,2024-11-09,19701.17,12537.0,0,On Time
PAY002312,LN05300,2026-01-20,11832.87,8276.49,30,Missed
PAY017914,LN01893,2025-09-06,16060.66,13000.3,3,Late
PAY015623,LN00511,2025-01-11,16158.17,10081.73,10,Late
PAY021328,LN03074,2025-08-19,6152.1,13132.98,3,Late
PAY014178,LN00461,2025-06-20,15674.77,19177.44,0,On Time
PAY044139,LN03317,2025-05-20,3188.26,5833.4,0,On Time
PAY043573,LN03783,2026-01-23,10534.1,6070.15,0,On Time
PAY037460,LN05576,2024-12-26,14312.69,18220.63,0,On Time
PAY000145,LN01315,2025-07-12,4373.8,8473.7,0,On Time
PAY043837,LN01948,2025-08-19,9339.23,15258.33,0,On Time
PAY011333,LN00724,2025-10-28,12998.11,3820.65,0,On Time
PAY036349,LN04572,2026-08-14,18859.68,9636.05,10,Late
PAY006925,LN00379,2026-02-04,1855.34,6433.51,0,On Time
PAY005263,LN05035,2025-01-08,4012.14,6749.2,0,On Time
PAY014888,LN04821,2025-09-16,16654.75,12899.42,3,Late
PAY018668,LN02607,2025-08-23,13665.92,6513.94,10,Late
PAY040366,LN03661,2026-05-25,7483.92,10551.96,0,On Time
PAY017065,LN05012,2026-04-06,6925.69,11156.81,0,On Time
PAY031129,LN03709,2026-02-23,10841.84,16085.25,0,On Time
PAY017728,LN00464,2025-08-01,2394.92,5472.18,3,Late
PAY000099,LN00263,2025-02-17,16994.09,19843.42,0,On Time
PAY001771,LN02667,2025-04-25,2653.09,11904.37,0,On Time
PAY025984,LN01858,2025-07-29,19205.8,14893.59,30,Missed
PAY015777,LN00054,2026-07-12,8276.64,4420.03,-30,Missed
PAY027144,LN02492,2025-03-03,6217.94,10144.37,3,Late
PAY000438,LN02029,2024-10-30,19422.79,13338.07,0,On Time
PAY001707,LN05283,2025-12-23,8182.72,10829.74,10,Late
PAY020981,LN01231,2026-05-08,15274.0,1996.54,0,On Time
PAY021317,LN04298,2025-08-29,16113.48,14069.71,30,Missed
PAY025259,LN04571,2026-05-01,16717.29,18430.39,3,Late
PAY024690,LN02279,2025-04-14,19708.72,5860.2,0,On Time
PAY019899,LN02610,2025-08-30,3812.7,8934.54,30,Missed
PAY042826,LN05975,2025-02-26,19184.48,18916.84,3,Late
PAY020074,LN01910,2025-09-02,11198.58,15585.55,30,Missed
PAY020514,LN03061,2026-04-08,6113.9,9377.87,30,Missed
PAY032419,LN03892,2025-04-11,7917.98,14435.9,10,Late
PAY006367,LN02357,2025-09-29,11703.9,18600.76,10,Late
PAY010370,LN03695,2025-10-28,18811.52,12563.88,10,Late
PAY039790,LN03997,2026-04-04,13396.98,8455.57,30,Missed
PAY041718,LN01650,2026-05-31,2282.8,9065.66,30,Missed
PAY045646,LN03155,2026-05-06,19074.06,7261.79,10,Late
PAY025884,LN00836,2026-01-28,15745.51,7593.7,30,Missed
PAY023664,LN00703,2026-01-05,12014.99,19240.27,30,Missed
PAY026501,LN05057,2025-04-19,17627.4,7659.23,3,Late
PAY011222,LN01102,2026-06-09,11489.86,12125.81,0,On Time
PAY034748,LN05976,2025-08-19,16441.64,2147.42,0,On Time
PAY014217,LN01720,2025-05-01,8387.63,18778.98,3,Late
PAY034232,LN03308,2026-06-17,7079.18,11213.66,10,Late
PAY001859,LN05427,2024-11-23,16609.05,9007.39,3,Late
PAY020385,LN03913,2024-12-31,12469.71,5322.42,10,Late
PAY011915,LN01736,2026-07-08,2236.47,14881.72,0,On Time
PAY029062,LN04326,2026-06-27,14498.71,,10,Late
PAY033332,LN03112,2025-05-31,9552.68,14668.38,0,On Time
PAY032417,LN02581,2025-03-22,4467.59,17627.19,30,Missed
PAY045273,LN99999,2024-10-17,6174.01,9023.64,3,Late
PAY020319,LN05803,2026-04-13,10534.32,15484.64,30,Missed
PAY043231,LN01248,2025-03-13,8311.61,18177.5,0,On Time
PAY037610,LN01827,2024-12-29,15285.03,4918.28,10,Late
PAY023587,LN03719,2025-05-28,5414.61,16110.57,30,Missed
PAY000161,LN00692,2026-08-06,10468.75,6783.06,0,On Time
PAY023607,LN02002,2026-02-18,9969.7,2426.54,10,Late
PAY043788,LN04483,2026-08-02,19706.78,9407.17,0,On Time
PAY022319,LN02931,2024-12-15,2213.33,6972.66,0,On Time
PAY023704,LN05760,2024-12-30,16289.2,8258.06,3,Late
PAY000622,LN05065,2026-04-01,9497.55,19275.67,0,On Time
PAY022706,LN03240,2025-01-16,3197.3,7931.01,0,On Time
PAY015359,LN03914,2025-04-26,5014.36,8929.86,30,Missed
PAY008363,LN04023,2024-09-19,3974.2,2872.59,3,Late
PAY030557,LN00819,2025-12-30,2923.55,9221.64,3,Late
PAY045023,LN03409,2025-11-03,5118.1,1016.03,3,Late
PAY021440,LN02274,2026-08-12,8417.39,13434.49,0,On Time
PAY018649,LN03313,2025-12-27,1485.96,11074.59,0,On Time
PAY018657,LN03902,2026-04-23,7829.06,10321.53,0,On Time
PAY023092,LN02676,2026-02-09,7588.31,15261.35,3,Late
PAY022259,LN03556,2025-09-18,8819.57,17157.27,0,On Time
PAY027520,LN05588,2025-11-05,19343.95,,0,On Time
PAY015437,LN05835,2025-04-15,2013.95,3161.08,10,Late
PAY030594,LN05788,2026-01-10,12808.86,2858.32,0,On Time
PAY043856,LN01969,2026-04-25,13035.22,3562.81,30,Missed
PAY007352,LN00589,2026-03-08,9229.92,15069.68,3,Late
PAY022572,LN04700,2024-11-30,17365.48,11780.52,0,On Time
PAY004658,LN00553,2025-10-31,18347.51,8380.74,0,On Time
PAY045530,LN04623,2025-09-06,10008.19,7780.93,10,Late
PAY001546,LN03901,2025-07-01,9241.8,19249.76,0,On Time
PAY023169,LN04535,2025-10-22,15819.95,11351.34,0,On Time
PAY023819,LN04661,2025-07-06,6358.48,4330.39,30,Missed
PAY031619,LN01489,2025-11-16,5180.68,2322.33,3,Late
PAY003995,LN05194,2025-08-08,19795.5,13380.07,30,Missed
PAY023694,LN02320,2026-01-09,11181.16,9741.44,3,Late
PAY015904,LN02738,2026-02-03,14005.74,11076.28,0,On Time
PAY031051,LN00202,2026-01-14,18755.85,9102.05,0,On Time
PAY016052,LN04371,2025-04-02,13054.6,4112.37,0,On Time
PAY033314,LN04023,2024-11-03,16564.88,12781.21,-10,Late
PAY045552,LN00266,2026-04-08,3176.51,11743.84,0,On Time
PAY022217,LN03508,2026-02-09,6808.59,2116.44,3,Late
PAY007325,LN04141,2025-06-13,10006.05,3976.85,10,Late
PAY010671,LN04797,2025-03-05,5147.52,16262.23,0,On Time
PAY009232,LN01344,2026-03-10,16837.31,17070.73,3,Late
PAY015605,LN00295,2026-08-06,5012.69,9924.29,0,On Time
PAY002914,LN05370,2026-05-16,9621.55,6869.42,0,On Time
PAY035382,LN02024,2026-09-03,11628.28,18563.08,0,On Time
PAY032592,LN02559,2025-10-10,11675.99,4646.55,3,Late
PAY020127,LN01631,2026-07-14,1215.98,16721.45,0,On Time
PAY028281,LN01840,2026-04-23,11775.55,4182.72,0,On Time
PAY025465,LN01365,2026-01-05,8803.64,6145.33,0,On Time
PAY018741,LN05158,2025-11-24,5902.83,9502.38,3,Late
PAY023051,LN00476,2025-08-19,16990.1,,3,Late
PAY013641,LN04660,2026-03-12,8074.49,8870.94,30,Missed
PAY014683,LN05666,2025-10-29,2646.9,6254.75,0,On Time
PAY015274,LN00596,2026-01-13,5106.21,15373.88,0,On Time
PAY018669,LN00275,2025-06-28,5060.73,6369.6,0,On Time
PAY012643,LN01686,2026-02-03,2243.11,13430.44,0,On Time
PAY017634,LN05951,2025-02-14,17849.75,1487.4,0,On Time
PAY034092,LN01151,2024-10-09,8300.11,2772.18,0,On Time
PAY013196,LN03005,2024-11-10,3292.45,2106.61,0,On Time
PAY011793,LN02429,2026-05-28,10498.94,11491.7,0,On Time
PAY037021,LN01915,2025-05-07,10051.87,11540.91,0,On Time
PAY029163,LN04469,2025-08-01,13167.73,7953.75,3,Late
PAY035828,LN04828,2025-02-01,4976.19,8316.73,0,On Time
PAY001306,LN04215,2026-08-26,4005.72,12792.54,0,On Time
PAY006719,LN05087,2025-07-05,14341.65,2761.71,30,Missed
PAY045426,LN03942,2025-04-13,5822.01,12827.42,0,On Time
PAY044881,LN04689,2026-06-23,17218.51,19093.8,0,On Time
