transaction_id,account_id,transaction_date,transaction_type,amount,channel
TXN032701,ACC02624,2024-12-21,Transfer,47473.76,Mobile
TXN062320,ACC11078,2025-07-03,Payment,16787.5,ATM
TXN052323,ACC08100,2025-09-20,Transfer,14333.92,Online
TXN060575,ACC04326,2025-11-06,Deposit,2621.69,Branch
TXN004765,ACC08699,2026-06-19,Transfer,16813.08,Mobile
TXN090796,ACC06549,2026-08-17,Deposit,48986.12,Online
TXN049194,ACC10297,2025-12-10,Payment,38851.48,Mobile
TXN009107,ACC99999,2026-04-07,Payment,4323.71,Branch
TXN128821,ACC08301,2024-12-06,Deposit,15406.29,Mobile
TXN008872,ACC03151,2025-02-19,Withdrawal,28916.16,ATM
TXN027774,ACC03551,2024-12-21,Transfer,20326.84,ATM
TXN069476,ACC01851,2026-06-07,Deposit,40018.21,Branch
TXN086335,ACC11346,2025-01-06,Transfer,16217.78,Mobile
TXN060747,ACC07648,2024-10-08,Deposit,20169.56,Online
TXN084140,ACC07692,2025-09-30,Payment,49473.31,Online
TXN121459,ACC01453,2025-10-19,Transfer,13579.05,Mobile
TXN022834,ACC04655,2025-10-31,Transfer,12587.39,ATM
TXN065319,ACC99999,2025-12-07,Payment,25688.26,Online
TXN025996,ACC06496,2026-08-20,Withdrawal,26066.25,Online
TXN124301,ACC05743,2026-07-18,Payment,29711.7,Branch
TXN107988,ACC00958,2025-06-02,Withdrawal,28350.38,ATM
TXN124486,ACC05545,2025-10-07,Transfer,39516.43,Branch
TXN023927,ACC08988,2025-09-12,Deposit,23895.25,Online
TXN069803,ACC06107,2025-12-29,Transfer,13450.27,Branch
TXN024526,ACC11329,2025-02-14,Withdrawal,25879.81,Branch
TXN086379,ACC99999,2025-02-21,Payment,7656.03,Branch
TXN025671,ACC07014,2025-08-12,Deposit,8760.31,Branch
TXN014275,ACC06562,2025-05-09,Withdrawal,8211.72,Branch
TXN103601,ACC08761,2025-06-17,Payment,45203.36,Mobile
TXN112942,ACC11137,2026-07-02,Deposit,45941.7,Mobile
TXN010181,ACC07385,2025-12-26,Payment,36141.66,Online
TXN042313,ACC11505,2025-12-12,Deposit,23244.44,Mobile
TXN027165,ACC11510,2026-02-18,Withdrawal,33692.56,ATM
TXN085312,ACC02623,2025-01-30,Transfer,22054.85,ATM
TXN047580,ACC07282,2026-01-01,Transfer,39510.87,Online
TXN052991,ACC99999,2026-03-19,Payment,48300.82,Mobile
TXN079142,ACC03767,2026-05-26,Transfer,17940.67,Mobile
TXN075161,ACC08987,2025-12-20,Payment,27897.38,ATM
TXN005957,ACC11671,2026-08-22,Deposit,40766.28,Mobile
TXN057899,ACC10468,2026-06-13,Transfer,27326.53,Online
TXN047951,ACC02090,2026-04-21,Withdrawal,3659.83,Mobile
TXN119965,ACC04110,2025-04-10,Deposit,2230.97,ATM
TXN093755,ACC10184,2025-11-07,Payment,21942.74,Mobile
TXN087527,ACC01491,2026-04-03,Transfer,15066.1,Mobile
TXN063134,ACC11942,2025-08-07,Withdrawal,44719.93,Mobile
TXN112927,ACC09306,2025-08-04,Payment,47384.59,Online
TXN130982,ACC07975,2026-06-03,Withdrawal,2300.26,Online
TXN117818,ACC08731,2025-11-10,Deposit,23565.15,ATM
TXN059660,ACC06062,2025-10-03,Withdrawal,6683.95,Mobile
TXN017413,ACC07988,2026-01-21,Transfer,35158.94,Online
TXN037180,ACC10422,2025-09-23,Payment,4378.11,Online
TXN042645,ACC10341,2024-11-05,Transfer,27632.88,ATM
TXN050753,ACC02679,2026-01-01,Deposit,1971.88,Mobile
TXN053169,ACC09215,2025-12-17,Transfer,49575.81,ATM
TXN047980,ACC08806,2025-12-26,Withdrawal,43589.59,Branch
TXN019130,ACC04865,2025-11-23,Withdrawal,4742.63,Online
TXN065306,ACC11124,2025-11-19,Transfer,19333.78,ATM
TXN061013,ACC06336,2026-02-17,,31998.62,Branch
TXN041180,ACC08020,2026-08-29,Deposit,33894.81,ATM
TXN060069,ACC03206,2026-02-08,Transfer,26473.47,ATM
TXN082794,ACC02671,2026-02-08,Withdrawal,40868.97,ATM
TXN100894,ACC04711,2025-08-03,Withdrawal,34055.12,Branch
TXN014665,ACC11983,2024-10-29,Transfer,28115.86,ATM
TXN128926,ACC10464,2025-08-09,Deposit,6925.25,Online
